YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEP_DELAY,DEP_DEL15,ARR_DELAY,ARR_DEL15,CANCELLED,CANCELLATION_CODE,DIVERTED,ACTUAL_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",12892,1289208,32575,LAX,"Los Angeles, CA",-8.00,0.00,42.00,1.00,0.00,,0.00,448.00,2611.00,0.00,0.00,42.00,0.00,0.00
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",12892,1289208,32575,LAX,"Los Angeles, CA",-7.00,0.00,-18.00,0.00,0.00,,0.00,389.00,2611.00,,,,,
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",13303,1330303,32467,MIA,"Miami, FL",-5.00,0.00,-34.00,0.00,0.00,,0.00,196.00,1258.00,,,,,
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",13303,1330303,32467,MIA,"Miami, FL",-1.00,0.00,19.00,1.00,0.00,,0.00,240.00,1258.00,0.00,0.00,19.00,0.00,0.00
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",13303,1330303,32467,MIA,"Miami, FL",4.00,0.00,-18.00,0.00,0.00,,0.00,202.00,1258.00,,,,,
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",13303,1330303,32467,MIA,"Miami, FL",9.00,0.00,8.00,0.00,0.00,,0.00,223.00,1258.00,,,,,
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",13303,1330303,32467,MIA,"Miami, FL",113.00,1.00,95.00,1.00,0.00,,0.00,203.00,1258.00,95.00,0.00,0.00,0.00,0.00
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",13930,1393008,30977,ORD,"Chicago, IL",-11.00,0.00,-14.00,0.00,0.00,,0.00,179.00,867.00,,,,,
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",13930,1393008,30977,ORD,"Chicago, IL",-11.00,0.00,-9.00,0.00,0.00,,0.00,184.00,867.00,,,,,
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",13930,1393008,30977,ORD,"Chicago, IL",-10.00,0.00,-8.00,0.00,0.00,,0.00,183.00,867.00,,,,,
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",13930,1393008,30977,ORD,"Chicago, IL",-6.00,0.00,3.00,0.00,0.00,,0.00,192.00,867.00,,,,,
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",14100,1410005,34100,PHL,"Philadelphia, PA",-9.00,0.00,-11.00,0.00,0.00,,0.00,91.00,280.00,,,,,
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",14100,1410005,34100,PHL,"Philadelphia, PA",-5.00,0.00,-11.00,0.00,0.00,,0.00,92.00,280.00,,,,,
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",14100,1410005,34100,PHL,"Philadelphia, PA",2.00,0.00,0.00,0.00,0.00,,0.00,99.00,280.00,,,,,
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",14100,1410005,34100,PHL,"Philadelphia, PA",9.00,0.00,1.00,0.00,0.00,,0.00,85.00,280.00,,,,,
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",14100,1410005,34100,PHL,"Philadelphia, PA",28.00,1.00,20.00,1.00,0.00,,0.00,95.00,280.00,20.00,0.00,0.00,0.00,0.00
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",14100,1410005,34100,PHL,"Philadelphia, PA",150.00,1.00,138.00,1.00,0.00,,0.00,83.00,280.00,0.00,0.00,0.00,0.00,138.00
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",14107,1410702,30466,PHX,"Phoenix, AZ",2.00,0.00,12.00,0.00,0.00,,0.00,375.00,2300.00,,,,,
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",14107,1410702,30466,PHX,"Phoenix, AZ",57.00,1.00,54.00,1.00,0.00,,0.00,362.00,2300.00,54.00,0.00,0.00,0.00,0.00
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",14107,1410702,30466,PHX,"Phoenix, AZ",749.00,1.00,740.00,1.00,0.00,,0.00,357.00,2300.00,72.00,0.00,0.00,0.00,668.00
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,11057,1105703,31057,CLT,"Charlotte, NC",10721,1072102,30721,BOS,"Boston, MA",-7.00,0.00,4.00,0.00,0.00,,0.00,137.00,728.00,,,,,
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,11057,1105703,31057,CLT,"Charlotte, NC",10721,1072102,30721,BOS,"Boston, MA",2.00,0.00,-5.00,0.00,0.00,,0.00,119.00,728.00,,,,,
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,11057,1105703,31057,CLT,"Charlotte, NC",10721,1072102,30721,BOS,"Boston, MA",9.00,0.00,-3.00,0.00,0.00,,0.00,115.00,728.00,,,,,
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,11057,1105703,31057,CLT,"Charlotte, NC",10721,1072102,30721,BOS,"Boston, MA",69.00,1.00,51.00,1.00,0.00,,0.00,107.00,728.00,41.00,0.00,0.00,0.00,10.00
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,11057,1105703,31057,CLT,"Charlotte, NC",10721,1072102,30721,BOS,"Boston, MA",73.00,1.00,55.00,1.00,0.00,,0.00,107.00,728.00,55.00,0.00,0.00,0.00,0.00
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,11057,1105703,31057,CLT,"Charlotte, NC",10721,1072102,30721,BOS,"Boston, MA",179.00,1.00,168.00,1.00,0.00,,0.00,113.00,728.00,0.00,0.00,0.00,0.00,168.00
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,11278,1127805,30852,DCA,"Washington, DC",10721,1072102,30721,BOS,"Boston, MA",-9.00,0.00,-23.00,0.00,0.00,,0.00,77.00,399.00,,,,,
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,11278,1127805,30852,DCA,"Washington, DC",10721,1072102,30721,BOS,"Boston, MA",-9.00,0.00,3.00,0.00,0.00,,0.00,101.00,399.00,,,,,
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,11278,1127805,30852,DCA,"Washington, DC",10721,1072102,30721,BOS,"Boston, MA",-4.00,0.00,-12.00,0.00,0.00,,0.00,81.00,399.00,,,,,
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,11278,1127805,30852,DCA,"Washington, DC",10721,1072102,30721,BOS,"Boston, MA",11.00,0.00,1.00,0.00,0.00,,0.00,81.00,399.00,,,,,
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,11278,1127805,30852,DCA,"Washington, DC",10721,1072102,30721,BOS,"Boston, MA",13.00,0.00,35.00,1.00,0.00,,0.00,113.00,399.00,13.00,0.00,22.00,0.00,0.00
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,11278,1127805,30852,DCA,"Washington, DC",10721,1072102,30721,BOS,"Boston, MA",151.00,1.00,145.00,1.00,0.00,,0.00,89.00,399.00,145.00,0.00,0.00,0.00,0.00
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,11278,1127805,30852,DCA,"Washington, DC",10721,1072102,30721,BOS,"Boston, MA",190.00,1.00,199.00,1.00,0.00,,0.00,106.00,399.00,0.00,0.00,9.00,0.00,190.00
2023,2,1,3,2/1/2023 12:00:00 AM,AA,19805,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",10721,1072102,30721,BOS,"Boston, MA",,,,,1.00,B,0.00,,1562.00,,,,,
