Date,Facility,State,Region,DDSO Service Area,Class,Itinerant Air Carrier,Itinerant Air Taxi,Itinerant General Aviation,Itinerant Military,Itinerant Total,Local Civil,Local Military,Local Total,"Total
Operations"
11/30/2022,ATL,GA,ASO,ES,Towers with Radar,"1,943",71,8,0,"2,022",0,0,0,"2,022"
11/30/2022,AUS,TX,ASW,CE,Combined TRACON & Tower with Radar,544,88,152,23,807,0,0,0,807
11/30/2022,BNA,TN,ASO,ES,Combined TRACON & Tower with Radar,529,58,103,4,694,0,0,0,694
11/30/2022,BOS,MA,ANE,EN,Towers with Radar,921,168,32,2,"1,123",0,0,0,"1,123"
11/30/2022,BWI,MD,AEA,EN,Towers with Radar,532,45,16,1,594,0,0,0,594
11/30/2022,CLT,NC,ASO,ES,Combined TRACON & Tower with Radar,"1,134",163,63,2,"1,362",0,0,0,"1,362"
11/30/2022,DCA,DC,AEA,EN,Towers with Radar,835,23,13,8,879,0,0,0,879
11/30/2022,DEN,CO,ANM,WE,Towers with Radar,"1,428",268,3,0,"1,699",0,0,0,"1,699"
11/30/2022,DFW,TX,ASW,CE,Towers with Radar,"1,726",74,18,0,"1,818",0,0,0,"1,818"
11/30/2022,DTW,MI,AGL,CE,Towers with Radar,684,62,8,0,754,0,0,0,754
11/30/2022,EWR,NJ,AEA,EN,Towers with Radar,"1,035",39,18,0,"1,092",0,0,0,"1,092"
11/30/2022,FLL,FL,ASO,ES,Towers with Radar,595,93,73,3,764,0,0,0,764
11/30/2022,IAD,VA,AEA,EN,Towers with Radar,469,224,114,0,807,0,0,0,807
11/30/2022,IAH,TX,ASW,CE,Towers with Radar,920,153,32,4,"1,109",0,0,0,"1,109"
11/30/2022,JFK,NY,AEA,EN,Towers with Radar,"1,259",9,15,0,"1,283",0,0,0,"1,283"
11/30/2022,LAS,NV,AWP,WE,Towers with Radar,993,278,103,41,"1,415",0,0,0,"1,415"
11/30/2022,LAX,CA,AWP,WE,Towers with Radar,"1,371",51,39,4,"1,465",0,0,0,"1,465"
11/30/2022,LGA,NY,AEA,EN,Towers with Radar,974,14,10,0,998,0,0,0,998
11/30/2022,MCO,FL,ASO,ES,Towers with Radar,921,35,45,2,"1,003",0,0,0,"1,003"
11/30/2022,MDW,IL,AGL,CE,Towers with Radar,467,70,65,0,602,0,0,0,602
11/30/2022,MIA,FL,ASO,ES,Combined TRACON & Tower with Radar,"1,154",100,53,0,"1,307",0,0,0,"1,307"
11/30/2022,MSP,MN,AGL,CE,Towers with Radar,689,112,21,12,834,0,0,0,834
11/30/2022,ORD,IL,AGL,CE,Towers with Radar,"1,514",417,26,0,"1,957",0,0,0,"1,957"
11/30/2022,PHL,PA,AEA,EN,Combined TRACON & Tower with Radar,616,131,16,3,766,0,0,0,766
11/30/2022,PHX,AZ,AWP,CE,Towers with Radar,"1,037",115,82,7,"1,241",0,0,0,"1,241"
11/30/2022,SAN,CA,AWP,WE,Towers with Radar,502,39,20,8,569,0,0,0,569
11/30/2022,SEA,WA,ANM,WE,Towers with Radar,948,14,1,0,963,0,0,0,963
11/30/2022,SFO,CA,AWP,WE,Towers with Radar,817,95,24,15,951,0,0,0,951
11/30/2022,SLC,UT,ANM,WE,Towers with Radar,604,136,156,10,906,0,0,0,906
11/30/2022,TPA,FL,ASO,ES,Combined TRACON & Tower with Radar,444,64,85,2,595,0,0,0,595
12/01/2022,ATL,GA,ASO,ES,Towers with Radar,"2,021",82,21,4,"2,128",0,0,0,"2,128"
12/01/2022,AUS,TX,ASW,CE,Combined TRACON & Tower with Radar,549,86,162,23,820,0,40,40,860
12/01/2022,BNA,TN,ASO,ES,Combined TRACON & Tower with Radar,556,109,150,16,831,0,0,0,831
12/01/2022,BOS,MA,ANE,EN,Towers with Radar,943,196,49,5,"1,193",0,0,0,"1,193"
12/01/2022,BWI,MD,AEA,EN,Towers with Radar,532,71,47,2,652,0,0,0,652
12/01/2022,CLT,NC,ASO,ES,Combined TRACON & Tower with Radar,"1,155",176,94,3,"1,428",0,0,0,"1,428"
12/01/2022,DCA,DC,AEA,EN,Towers with Radar,893,14,23,3,933,0,0,0,933
12/01/2022,DEN,CO,ANM,WE,Towers with Radar,"1,459",277,15,0,"1,751",0,0,0,"1,751"
12/01/2022,DFW,TX,ASW,CE,Towers with Radar,"1,710",62,19,4,"1,795",0,0,0,"1,795"
12/01/2022,DTW,MI,AGL,CE,Towers with Radar,724,62,4,0,790,0,0,0,790
12/01/2022,EWR,NJ,AEA,EN,Towers with Radar,"1,181",48,61,0,"1,290",0,0,0,"1,290"
12/01/2022,FLL,FL,ASO,ES,Towers with Radar,653,108,89,2,852,0,0,0,852
12/01/2022,IAD,VA,AEA,EN,Towers with Radar,468,258,155,0,881,0,0,0,881
12/01/2022,IAH,TX,ASW,CE,Towers with Radar,938,151,32,0,"1,121",0,0,0,"1,121"
12/01/2022,JFK,NY,AEA,EN,Towers with Radar,"1,281",19,51,0,"1,351",0,0,0,"1,351"
12/01/2022,LAS,NV,AWP,WE,Towers with Radar,"1,108",365,136,45,"1,654",0,0,0,"1,654"
12/01/2022,LAX,CA,AWP,WE,Towers with Radar,"1,403",78,43,3,"1,527",0,0,0,"1,527"
12/01/2022,LGA,NY,AEA,EN,Towers with Radar,"1,159",29,14,0,"1,202",0,0,0,"1,202"
12/01/2022,MCO,FL,ASO,ES,Towers with Radar,"1,005",43,58,4,"1,110",0,0,0,"1,110"
12/01/2022,MDW,IL,AGL,CE,Towers with Radar,465,91,71,2,629,0,0,0,629
12/01/2022,MIA,FL,ASO,ES,Combined TRACON & Tower with Radar,"1,189",110,69,0,"1,368",0,0,0,"1,368"
12/01/2022,MSP,MN,AGL,CE,Towers with Radar,752,94,14,9,869,0,0,0,869
12/01/2022,ORD,IL,AGL,CE,Towers with Radar,"1,556",389,18,0,"1,963",0,0,0,"1,963"
12/01/2022,PHL,PA,AEA,EN,Combined TRACON & Tower with Radar,610,144,35,0,789,0,0,0,789
12/01/2022,PHX,AZ,AWP,CE,Towers with Radar,"1,068",125,84,7,"1,284",0,0,0,"1,284"
12/01/2022,SAN,CA,AWP,WE,Towers with Radar,537,47,26,5,615,0,0,0,615
12/01/2022,SEA,WA,ANM,WE,Towers with Radar,911,12,2,0,925,0,0,0,925
12/01/2022,SFO,CA,AWP,WE,Towers with Radar,851,72,24,10,957,0,0,0,957
12/01/2022,SLC,UT,ANM,WE,Towers with Radar,623,131,91,7,852,0,0,0,852
12/01/2022,TPA,FL,ASO,ES,Combined TRACON & Tower with Radar,469,94,86,2,651,0,0,0,651
12/02/2022,ATL,GA,ASO,ES,Towers with Radar,"1,997",78,22,0,"2,097",0,0,0,"2,097"
12/02/2022,AUS,TX,ASW,CE,Combined TRACON & Tower with Radar,560,70,118,5,753,0,0,0,753
12/02/2022,BNA,TN,ASO,ES,Combined TRACON & Tower with Radar,540,77,109,8,734,0,0,0,734
12/02/2022,BOS,MA,ANE,EN,Towers with Radar,937,158,24,4,"1,123",0,0,0,"1,123"
12/02/2022,BWI,MD,AEA,EN,Towers with Radar,538,50,32,2,622,0,0,0,622
12/02/2022,CLT,NC,ASO,ES,Combined TRACON & Tower with Radar,"1,148",174,82,2,"1,406",0,0,0,"1,406"
12/02/2022,DCA,DC,AEA,EN,Towers with Radar,880,14,18,5,917,0,0,0,917
12/02/2022,DEN,CO,ANM,WE,Towers with Radar,"1,476",272,6,0,"1,754",0,0,0,"1,754"
12/02/2022,DFW,TX,ASW,CE,Towers with Radar,"1,678",74,12,0,"1,764",0,0,0,"1,764"
12/02/2022,DTW,MI,AGL,CE,Towers with Radar,720,60,7,0,787,0,0,0,787
12/02/2022,EWR,NJ,AEA,EN,Towers with Radar,"1,123",51,65,0,"1,239",0,0,0,"1,239"
12/02/2022,FLL,FL,ASO,ES,Towers with Radar,647,88,118,1,854,0,0,0,854
12/02/2022,IAD,VA,AEA,EN,Towers with Radar,464,220,111,0,795,0,0,0,795
12/02/2022,IAH,TX,ASW,CE,Towers with Radar,947,132,23,0,"1,102",0,0,0,"1,102"
12/02/2022,JFK,NY,AEA,EN,Towers with Radar,"1,251",23,61,2,"1,337",0,0,0,"1,337"
12/02/2022,LAS,NV,AWP,WE,Towers with Radar,"1,126",487,222,34,"1,869",0,0,0,"1,869"
12/02/2022,LAX,CA,AWP,WE,Towers with Radar,"1,419",68,40,1,"1,528",0,0,0,"1,528"
12/02/2022,LGA,NY,AEA,EN,Towers with Radar,"1,147",17,14,0,"1,178",0,0,0,"1,178"
12/02/2022,MCO,FL,ASO,ES,Towers with Radar,"1,032",61,22,3,"1,118",0,0,0,"1,118"
12/02/2022,MDW,IL,AGL,CE,Towers with Radar,470,81,63,0,614,0,0,0,614
12/02/2022,MIA,FL,ASO,ES,Combined TRACON & Tower with Radar,"1,172",123,47,2,"1,344",0,0,0,"1,344"
12/02/2022,MSP,MN,AGL,CE,Towers with Radar,725,92,22,3,842,0,0,0,842
12/02/2022,ORD,IL,AGL,CE,Towers with Radar,"1,579",379,10,0,"1,968",0,0,0,"1,968"
12/02/2022,PHL,PA,AEA,EN,Combined TRACON & Tower with Radar,579,132,23,5,739,0,0,0,739
12/02/2022,PHX,AZ,AWP,CE,Towers with Radar,"1,054",129,78,6,"1,267",0,0,0,"1,267"
12/02/2022,SAN,CA,AWP,WE,Towers with Radar,536,57,39,3,635,0,0,0,635
12/02/2022,SEA,WA,ANM,WE,Towers with Radar,"1,001",16,0,0,"1,017",0,0,0,"1,017"
12/02/2022,SFO,CA,AWP,WE,Towers with Radar,847,84,13,14,958,0,0,0,958
12/02/2022,SLC,UT,ANM,WE,Towers with Radar,609,134,154,9,906,0,0,0,906
12/02/2022,TPA,FL,ASO,ES,Combined TRACON & Tower with Radar,468,55,98,0,621,0,0,0,621
12/03/2022,ATL,GA,ASO,ES,Towers with Radar,"1,754",49,21,0,"1,824",0,0,0,"1,824"
12/03/2022,AUS,TX,ASW,CE,Combined TRACON & Tower with Radar,422,33,77,10,542,0,0,0,542
12/03/2022,BNA,TN,ASO,ES,Combined TRACON & Tower with Radar,476,58,64,8,606,0,0,0,606
12/03/2022,BOS,MA,ANE,EN,Towers with Radar,734,74,9,4,821,0,0,0,821
12/03/2022,BWI,MD,AEA,EN,Towers with Radar,533,25,19,1,578,0,0,0,578
12/03/2022,CLT,NC,ASO,ES,Combined TRACON & Tower with Radar,"1,082",161,48,4,"1,295",0,0,0,"1,295"
12/03/2022,DCA,DC,AEA,EN,Towers with Radar,655,11,3,0,669,0,0,0,669
12/03/2022,DEN,CO,ANM,WE,Towers with Radar,"1,341",222,6,0,"1,569",0,0,0,"1,569"
12/03/2022,DFW,TX,ASW,CE,Towers with Radar,"1,579",51,11,0,"1,641",0,0,0,"1,641"
12/03/2022,DTW,MI,AGL,CE,Towers with Radar,614,51,2,0,667,0,0,0,667
12/03/2022,EWR,NJ,AEA,EN,Towers with Radar,968,16,7,0,991,0,0,0,991
12/03/2022,FLL,FL,ASO,ES,Towers with Radar,629,87,66,0,782,0,0,0,782
12/03/2022,IAD,VA,AEA,EN,Towers with Radar,441,181,52,0,674,0,0,0,674
12/03/2022,IAH,TX,ASW,CE,Towers with Radar,888,138,8,0,"1,034",0,0,0,"1,034"
12/03/2022,JFK,NY,AEA,EN,Towers with Radar,"1,221",14,6,0,"1,241",0,0,0,"1,241"
12/03/2022,LAS,NV,AWP,WE,Towers with Radar,934,431,127,3,"1,495",0,0,0,"1,495"
12/03/2022,LAX,CA,AWP,WE,Towers with Radar,"1,316",55,37,2,"1,410",0,0,0,"1,410"
12/03/2022,LGA,NY,AEA,EN,Towers with Radar,599,16,5,0,620,0,0,0,620
12/03/2022,MCO,FL,ASO,ES,Towers with Radar,"1,102",33,27,0,"1,162",0,0,0,"1,162"
12/03/2022,MDW,IL,AGL,CE,Towers with Radar,388,52,37,0,477,0,0,0,477
12/03/2022,MIA,FL,ASO,ES,Combined TRACON & Tower with Radar,"1,166",53,24,0,"1,243",0,0,0,"1,243"
12/03/2022,MSP,MN,AGL,CE,Towers with Radar,633,61,18,2,714,0,0,0,714
12/03/2022,ORD,IL,AGL,CE,Towers with Radar,"1,467",382,4,1,"1,854",0,0,0,"1,854"
12/03/2022,PHL,PA,AEA,EN,Combined TRACON & Tower with Radar,502,146,16,0,664,0,0,0,664
12/03/2022,PHX,AZ,AWP,CE,Towers with Radar,984,74,42,3,"1,103",0,0,0,"1,103"
12/03/2022,SAN,CA,AWP,WE,Towers with Radar,426,30,18,1,475,0,0,0,475
12/03/2022,SEA,WA,ANM,WE,Towers with Radar,953,6,0,0,959,0,0,0,959
12/03/2022,SFO,CA,AWP,WE,Towers with Radar,797,67,22,1,887,0,0,0,887
12/03/2022,SLC,UT,ANM,WE,Towers with Radar,539,84,128,3,754,0,0,0,754
12/03/2022,TPA,FL,ASO,ES,Combined TRACON & Tower with Radar,504,49,55,0,608,0,0,0,608
12/04/2022,ATL,GA,ASO,ES,Towers with Radar,"1,975",64,23,0,"2,062",0,0,0,"2,062"
12/04/2022,AUS,TX,ASW,CE,Combined TRACON & Tower with Radar,528,47,108,18,701,0,0,0,701
12/04/2022,BNA,TN,ASO,ES,Combined TRACON & Tower with Radar,547,100,67,2,716,0,0,0,716
12/04/2022,BOS,MA,ANE,EN,Towers with Radar,871,201,36,0,"1,108",0,0,0,"1,108"
12/04/2022,BWI,MD,AEA,EN,Towers with Radar,536,36,38,0,610,0,0,0,610
12/04/2022,CLT,NC,ASO,ES,Combined TRACON & Tower with Radar,"1,147",178,52,1,"1,378",0,0,0,"1,378"
12/04/2022,DCA,DC,AEA,EN,Towers with Radar,824,10,7,3,844,0,0,0,844
12/04/2022,DEN,CO,ANM,WE,Towers with Radar,"1,473",217,8,0,"1,698",0,0,0,"1,698"
12/04/2022,DFW,TX,ASW,CE,Towers with Radar,"1,641",38,15,1,"1,695",0,0,0,"1,695"
12/04/2022,DTW,MI,AGL,CE,Towers with Radar,710,50,11,0,771,0,0,0,771
12/04/2022,EWR,NJ,AEA,EN,Towers with Radar,"1,109",20,45,0,"1,174",0,0,0,"1,174"
12/04/2022,FLL,FL,ASO,ES,Towers with Radar,645,113,109,1,868,0,0,0,868
12/04/2022,IAD,VA,AEA,EN,Towers with Radar,466,208,106,0,780,0,0,0,780
12/04/2022,IAH,TX,ASW,CE,Towers with Radar,915,142,17,0,"1,074",0,0,0,"1,074"
12/04/2022,JFK,NY,AEA,EN,Towers with Radar,"1,240",11,27,1,"1,279",0,0,0,"1,279"
12/04/2022,LAS,NV,AWP,WE,Towers with Radar,"1,148",454,213,5,"1,820",0,0,0,"1,820"
12/04/2022,LAX,CA,AWP,WE,Towers with Radar,"1,399",73,56,1,"1,529",0,0,0,"1,529"
12/04/2022,LGA,NY,AEA,EN,Towers with Radar,989,32,11,0,"1,032",0,0,0,"1,032"
12/04/2022,MCO,FL,ASO,ES,Towers with Radar,"1,003",64,58,3,"1,128",0,0,0,"1,128"
12/04/2022,MDW,IL,AGL,CE,Towers with Radar,506,68,57,0,631,0,0,0,631
12/04/2022,MIA,FL,ASO,ES,Combined TRACON & Tower with Radar,"1,160",103,33,0,"1,296",0,0,0,"1,296"
12/04/2022,MSP,MN,AGL,CE,Towers with Radar,729,66,11,3,809,0,0,0,809
12/04/2022,ORD,IL,AGL,CE,Towers with Radar,"1,541",382,13,0,"1,936",0,0,0,"1,936"
12/04/2022,PHL,PA,AEA,EN,Combined TRACON & Tower with Radar,526,147,54,1,728,0,0,0,728
12/04/2022,PHX,AZ,AWP,CE,Towers with Radar,"1,040",78,54,2,"1,174",0,0,0,"1,174"
12/04/2022,SAN,CA,AWP,WE,Towers with Radar,537,37,48,3,625,0,0,0,625
12/04/2022,SEA,WA,ANM,WE,Towers with Radar,"1,037",12,4,0,"1,053",0,0,0,"1,053"
12/04/2022,SFO,CA,AWP,WE,Towers with Radar,873,87,22,3,985,0,0,0,985
12/04/2022,SLC,UT,ANM,WE,Towers with Radar,592,111,68,1,772,0,0,0,772
12/04/2022,TPA,FL,ASO,ES,Combined TRACON & Tower with Radar,468,49,85,0,602,0,0,0,602
12/05/2022,ATL,GA,ASO,ES,Towers with Radar,"2,010",74,15,2,"2,101",0,0,0,"2,101"
12/05/2022,AUS,TX,ASW,CE,Combined TRACON & Tower with Radar,553,56,135,3,747,0,0,0,747
12/05/2022,BNA,TN,ASO,ES,Combined TRACON & Tower with Radar,545,74,82,0,701,0,0,0,701
12/05/2022,BOS,MA,ANE,EN,Towers with Radar,930,195,36,0,"1,161",0,0,0,"1,161"
12/05/2022,BWI,MD,AEA,EN,Towers with Radar,551,40,26,6,623,0,0,0,623
12/05/2022,CLT,NC,ASO,ES,Combined TRACON & Tower with Radar,"1,144",179,85,0,"1,408",0,0,0,"1,408"
12/05/2022,DCA,DC,AEA,EN,Towers with Radar,881,18,19,8,926,0,0,0,926
12/05/2022,DEN,CO,ANM,WE,Towers with Radar,"1,476",246,2,0,"1,724",0,0,0,"1,724"
12/05/2022,DFW,TX,ASW,CE,Towers with Radar,"1,666",55,18,2,"1,741",0,0,0,"1,741"
12/05/2022,DTW,MI,AGL,CE,Towers with Radar,708,57,24,0,789,0,0,0,789
12/05/2022,EWR,NJ,AEA,EN,Towers with Radar,"1,121",25,63,0,"1,209",0,0,0,"1,209"
12/05/2022,FLL,FL,ASO,ES,Towers with Radar,622,99,104,4,829,0,0,0,829
12/05/2022,IAD,VA,AEA,EN,Towers with Radar,461,275,171,6,913,0,0,0,913
12/05/2022,IAH,TX,ASW,CE,Towers with Radar,935,141,33,1,"1,110",0,0,0,"1,110"
12/05/2022,JFK,NY,AEA,EN,Towers with Radar,"1,223",24,37,0,"1,284",0,0,0,"1,284"
12/05/2022,LAS,NV,AWP,WE,Towers with Radar,"1,153",372,159,42,"1,726",0,0,0,"1,726"
12/05/2022,LAX,CA,AWP,WE,Towers with Radar,"1,396",66,43,1,"1,506",0,0,0,"1,506"
12/05/2022,LGA,NY,AEA,EN,Towers with Radar,"1,155",30,14,0,"1,199",0,0,0,"1,199"
12/05/2022,MCO,FL,ASO,ES,Towers with Radar,993,32,27,0,"1,052",0,0,0,"1,052"
12/05/2022,MDW,IL,AGL,CE,Towers with Radar,476,91,73,1,641,0,0,0,641
12/05/2022,MIA,FL,ASO,ES,Combined TRACON & Tower with Radar,"1,129",91,53,0,"1,273",0,0,0,"1,273"
12/05/2022,MSP,MN,AGL,CE,Towers with Radar,716,85,39,7,847,0,0,0,847
12/05/2022,ORD,IL,AGL,CE,Towers with Radar,"1,541",398,19,0,"1,958",0,0,0,"1,958"
12/05/2022,PHL,PA,AEA,EN,Combined TRACON & Tower with Radar,566,117,42,0,725,0,0,0,725
12/05/2022,PHX,AZ,AWP,CE,Towers with Radar,"1,066",113,61,0,"1,240",0,0,0,"1,240"
12/05/2022,SAN,CA,AWP,WE,Towers with Radar,528,47,33,2,610,0,0,0,610
12/05/2022,SEA,WA,ANM,WE,Towers with Radar,"1,095",13,5,0,"1,113",0,0,0,"1,113"
12/05/2022,SFO,CA,AWP,WE,Towers with Radar,851,87,30,11,979,0,0,0,979
12/05/2022,SLC,UT,ANM,WE,Towers with Radar,599,109,110,3,821,0,0,0,821
12/05/2022,TPA,FL,ASO,ES,Combined TRACON & Tower with Radar,446,73,105,6,630,0,0,0,630
12/06/2022,ATL,GA,ASO,ES,Towers with Radar,"1,971",95,29,0,"2,095",0,0,0,"2,095"
12/06/2022,AUS,TX,ASW,CE,Combined TRACON & Tower with Radar,538,65,153,10,766,0,0,0,766
12/06/2022,BNA,TN,ASO,ES,Combined TRACON & Tower with Radar,525,76,75,0,676,0,0,0,676
12/06/2022,BOS,MA,ANE,EN,Towers with Radar,943,143,26,0,"1,112",0,0,0,"1,112"
12/06/2022,BWI,MD,AEA,EN,Towers with Radar,550,51,29,2,632,0,0,0,632
12/06/2022,CLT,NC,ASO,ES,Combined TRACON & Tower with Radar,"1,162",175,110,3,"1,450",0,0,0,"1,450"
12/06/2022,DCA,DC,AEA,EN,Towers with Radar,851,25,26,1,903,0,0,0,903
12/06/2022,DEN,CO,ANM,WE,Towers with Radar,"1,448",240,10,0,"1,698",0,0,0,"1,698"
12/06/2022,DFW,TX,ASW,CE,Towers with Radar,"1,693",66,21,0,"1,780",0,0,0,"1,780"
12/06/2022,DTW,MI,AGL,CE,Towers with Radar,682,56,11,0,749,0,0,0,749
12/06/2022,EWR,NJ,AEA,EN,Towers with Radar,"1,140",46,35,0,"1,221",0,0,0,"1,221"
12/06/2022,FLL,FL,ASO,ES,Towers with Radar,605,86,80,0,771,0,0,0,771
12/06/2022,IAD,VA,AEA,EN,Towers with Radar,450,252,152,5,859,0,0,0,859
12/06/2022,IAH,TX,ASW,CE,Towers with Radar,942,149,22,0,"1,113",0,0,0,"1,113"
12/06/2022,JFK,NY,AEA,EN,Towers with Radar,"1,249",13,15,0,"1,277",0,0,0,"1,277"
12/06/2022,LAS,NV,AWP,WE,Towers with Radar,"1,024",293,124,44,"1,485",0,0,0,"1,485"
12/06/2022,LAX,CA,AWP,WE,Towers with Radar,"1,338",52,36,3,"1,429",0,0,0,"1,429"
12/06/2022,LGA,NY,AEA,EN,Towers with Radar,"1,159",24,11,0,"1,194",0,0,0,"1,194"
12/06/2022,MCO,FL,ASO,ES,Towers with Radar,958,41,35,0,"1,034",0,0,0,"1,034"
12/06/2022,MDW,IL,AGL,CE,Towers with Radar,480,83,63,0,626,0,0,0,626
12/06/2022,MIA,FL,ASO,ES,Combined TRACON & Tower with Radar,"1,151",72,39,0,"1,262",0,0,0,"1,262"
12/06/2022,MSP,MN,AGL,CE,Towers with Radar,669,96,37,4,806,0,0,0,806
12/06/2022,ORD,IL,AGL,CE,Towers with Radar,"1,535",379,7,0,"1,921",0,0,0,"1,921"
12/06/2022,PHL,PA,AEA,EN,Combined TRACON & Tower with Radar,617,121,21,0,759,0,0,0,759
12/06/2022,PHX,AZ,AWP,CE,Towers with Radar,"1,047",103,98,6,"1,254",0,0,0,"1,254"
12/06/2022,SAN,CA,AWP,WE,Towers with Radar,495,38,19,7,559,0,0,0,559
12/06/2022,SEA,WA,ANM,WE,Towers with Radar,"1,024",15,3,0,"1,042",0,0,0,"1,042"
12/06/2022,SFO,CA,AWP,WE,Towers with Radar,822,78,12,25,937,0,0,0,937
12/06/2022,SLC,UT,ANM,WE,Towers with Radar,629,108,100,6,843,0,0,0,843
12/06/2022,TPA,FL,ASO,ES,Combined TRACON & Tower with Radar,445,79,93,1,618,0,0,0,618
12/07/2022,ATL,GA,ASO,ES,Towers with Radar,"1,945",94,33,1,"2,073",0,0,0,"2,073"
12/07/2022,AUS,TX,ASW,CE,Combined TRACON & Tower with Radar,537,64,148,23,772,0,0,0,772
12/07/2022,BNA,TN,ASO,ES,Combined TRACON & Tower with Radar,541,81,64,2,688,0,0,0,688
12/07/2022,BOS,MA,ANE,EN,Towers with Radar,905,133,51,0,"1,089",0,0,0,"1,089"
12/07/2022,BWI,MD,AEA,EN,Towers with Radar,548,44,30,4,626,0,0,0,626
12/07/2022,CLT,NC,ASO,ES,Combined TRACON & Tower with Radar,"1,157",165,75,3,"1,400",0,0,0,"1,400"
12/07/2022,DCA,DC,AEA,EN,Towers with Radar,880,22,13,2,917,0,0,0,917
12/07/2022,DEN,CO,ANM,WE,Towers with Radar,"1,465",249,6,0,"1,720",0,0,0,"1,720"
12/07/2022,DFW,TX,ASW,CE,Towers with Radar,"1,696",56,20,0,"1,772",0,0,0,"1,772"
12/07/2022,DTW,MI,AGL,CE,Towers with Radar,690,57,7,0,754,0,0,0,754
12/07/2022,EWR,NJ,AEA,EN,Towers with Radar,"1,125",46,12,0,"1,183",0,0,0,"1,183"
12/07/2022,FLL,FL,ASO,ES,Towers with Radar,602,78,102,8,790,0,0,0,790
12/07/2022,IAD,VA,AEA,EN,Towers with Radar,466,229,166,1,862,0,0,0,862
12/07/2022,IAH,TX,ASW,CE,Towers with Radar,938,146,23,1,"1,108",0,0,0,"1,108"
12/07/2022,JFK,NY,AEA,EN,Towers with Radar,"1,247",18,4,1,"1,270",0,0,0,"1,270"
12/07/2022,LAS,NV,AWP,WE,Towers with Radar,"1,026",335,159,48,"1,568",0,0,0,"1,568"
12/07/2022,LAX,CA,AWP,WE,Towers with Radar,"1,372",71,46,0,"1,489",0,0,0,"1,489"
12/07/2022,LGA,NY,AEA,EN,Towers with Radar,"1,160",26,21,0,"1,207",0,0,0,"1,207"
12/07/2022,MCO,FL,ASO,ES,Towers with Radar,977,49,25,0,"1,051",0,0,0,"1,051"
12/07/2022,MDW,IL,AGL,CE,Towers with Radar,482,93,78,0,653,0,0,0,653
12/07/2022,MIA,FL,ASO,ES,Combined TRACON & Tower with Radar,"1,156",70,28,0,"1,254",0,0,0,"1,254"
12/07/2022,MSP,MN,AGL,CE,Towers with Radar,705,87,30,17,839,0,0,0,839
12/07/2022,ORD,IL,AGL,CE,Towers with Radar,"1,545",371,37,0,"1,953",0,0,0,"1,953"
12/07/2022,PHL,PA,AEA,EN,Combined TRACON & Tower with Radar,617,120,37,0,774,0,0,0,774
12/07/2022,PHX,AZ,AWP,CE,Towers with Radar,"1,035",108,97,11,"1,251",0,0,0,"1,251"
12/07/2022,SAN,CA,AWP,WE,Towers with Radar,509,44,26,5,584,0,0,0,584
12/07/2022,SEA,WA,ANM,WE,Towers with Radar,998,13,5,0,"1,016",0,0,0,"1,016"
12/07/2022,SFO,CA,AWP,WE,Towers with Radar,818,94,22,9,943,0,0,0,943
12/07/2022,SLC,UT,ANM,WE,Towers with Radar,598,125,80,7,810,0,0,0,810
12/07/2022,TPA,FL,ASO,ES,Combined TRACON & Tower with Radar,444,62,105,1,612,0,0,0,612
12/08/2022,ATL,GA,ASO,ES,Towers with Radar,"2,033",72,30,0,"2,135",0,0,0,"2,135"
12/08/2022,AUS,TX,ASW,CE,Combined TRACON & Tower with Radar,550,69,180,12,811,0,0,0,811
12/08/2022,BNA,TN,ASO,ES,Combined TRACON & Tower with Radar,570,89,86,2,747,0,0,0,747
12/08/2022,BOS,MA,ANE,EN,Towers with Radar,941,169,48,2,"1,160",0,0,0,"1,160"
12/08/2022,BWI,MD,AEA,EN,Towers with Radar,555,42,35,11,643,0,0,0,643
12/08/2022,CLT,NC,ASO,ES,Combined TRACON & Tower with Radar,"1,162",197,120,4,"1,483",0,0,0,"1,483"
12/08/2022,DCA,DC,AEA,EN,Towers with Radar,878,17,17,3,915,0,0,0,915
12/08/2022,DEN,CO,ANM,WE,Towers with Radar,"1,488",262,4,0,"1,754",0,0,0,"1,754"
12/08/2022,DFW,TX,ASW,CE,Towers with Radar,"1,727",56,22,5,"1,810",0,0,0,"1,810"
12/08/2022,DTW,MI,AGL,CE,Towers with Radar,723,55,21,0,799,0,0,0,799
12/08/2022,EWR,NJ,AEA,EN,Towers with Radar,"1,156",55,63,0,"1,274",0,0,0,"1,274"
12/08/2022,FLL,FL,ASO,ES,Towers with Radar,654,99,118,1,872,0,0,0,872
12/08/2022,IAD,VA,AEA,EN,Towers with Radar,468,232,133,1,834,0,0,0,834
12/08/2022,IAH,TX,ASW,CE,Towers with Radar,949,144,46,0,"1,139",0,0,0,"1,139"
12/08/2022,JFK,NY,AEA,EN,Towers with Radar,"1,267",17,76,2,"1,362",0,0,0,"1,362"
12/08/2022,LAS,NV,AWP,WE,Towers with Radar,"1,139",394,183,41,"1,757",0,0,0,"1,757"
12/08/2022,LAX,CA,AWP,WE,Towers with Radar,"1,409",82,56,0,"1,547",0,0,0,"1,547"
12/08/2022,LGA,NY,AEA,EN,Towers with Radar,"1,150",20,24,0,"1,194",0,0,0,"1,194"
12/08/2022,MCO,FL,ASO,ES,Towers with Radar,"1,009",47,49,0,"1,105",0,0,0,"1,105"
12/08/2022,MDW,IL,AGL,CE,Towers with Radar,483,86,118,0,687,0,0,0,687
