Date,Facility,State,Region,DDSO Service Area,Class,Itinerant Air Carrier,Itinerant Air Taxi,Itinerant General Aviation,Itinerant Military,Itinerant Total,Local Civil,Local Military,Local Total,"Total
Operations"
05/21/2024,BNA,TN,ASO,ES,Combined TRACON & Tower with Radar,578,81,126,15,800,0,0,0,800
05/21/2024,BOS,MA,ANE,EN,Towers with Radar,"1,015",142,48,4,"1,209",0,0,0,"1,209"
05/21/2024,BWI,MD,AEA,EN,Towers with Radar,628,34,26,2,690,0,0,0,690
05/21/2024,CLT,NC,ASO,ES,Combined TRACON & Tower with Radar,"1,349",269,108,4,"1,730",0,0,0,"1,730"
05/21/2024,DCA,DC,AEA,EN,Towers with Radar,857,7,16,11,891,0,0,0,891
05/21/2024,DEN,CO,ANM,WE,Towers with Radar,"1,682",235,6,0,"1,923",0,0,0,"1,923"
05/21/2024,DFW,TX,ASW,CE,Towers with Radar,"2,023",38,9,0,"2,070",0,0,0,"2,070"
05/21/2024,DTW,MI,AGL,CE,Towers with Radar,827,14,13,0,854,0,0,0,854
05/21/2024,EWR,NJ,AEA,EN,Towers with Radar,"1,170",36,52,0,"1,258",0,0,0,"1,258"
05/21/2024,FLL,FL,ASO,ES,Towers with Radar,646,107,74,5,832,0,0,0,832
05/21/2024,IAD,VA,AEA,EN,Towers with Radar,580,210,114,3,907,0,0,0,907
05/21/2024,IAH,TX,ASW,CE,Towers with Radar,"1,066",141,24,0,"1,231",0,0,0,"1,231"
05/21/2024,JFK,NY,AEA,EN,Towers with Radar,"1,238",29,39,0,"1,306",0,0,0,"1,306"
05/21/2024,LAS,NV,AWP,WE,Towers with Radar,"1,108",451,141,44,"1,744",0,0,0,"1,744"
05/21/2024,LAX,CA,AWP,WE,Towers with Radar,"1,491",44,37,1,"1,573",0,0,0,"1,573"
05/21/2024,LGA,NY,AEA,EN,Towers with Radar,"1,041",25,27,0,"1,093",0,0,0,"1,093"
05/21/2024,MCO,FL,ASO,ES,Towers with Radar,"1,025",52,40,1,"1,118",0,0,0,"1,118"
05/21/2024,MDW,IL,AGL,CE,Towers with Radar,484,94,89,2,669,0,0,0,669
05/21/2024,MIA,FL,ASO,ES,Combined TRACON & Tower with Radar,"1,221",74,36,0,"1,331",0,0,0,"1,331"
05/21/2024,MSP,MN,AGL,CE,Towers with Radar,838,37,32,3,910,0,0,0,910
05/21/2024,ORD,IL,AGL,CE,Towers with Radar,"1,857",382,15,0,"2,254",0,0,0,"2,254"
05/21/2024,PHL,PA,AEA,EN,Combined TRACON & Tower with Radar,723,188,65,6,982,0,0,0,982
05/21/2024,PHX,AZ,AWP,CE,Towers with Radar,"1,182",113,57,7,"1,359",0,0,0,"1,359"
05/21/2024,SAN,CA,AWP,WE,Towers with Radar,553,34,20,4,611,0,0,0,611
05/21/2024,SEA,WA,ANM,WE,Towers with Radar,"1,256",17,1,0,"1,274",0,0,0,"1,274"
05/21/2024,SFO,CA,AWP,WE,Towers with Radar,958,55,14,10,"1,037",0,0,0,"1,037"
05/21/2024,SLC,UT,ANM,WE,Towers with Radar,677,90,137,11,915,0,0,0,915
05/21/2024,TPA,FL,ASO,ES,Combined TRACON & Tower with Radar,485,63,81,2,631,0,0,0,631
05/22/2024,ATL,GA,ASO,ES,Towers with Radar,"2,223",28,21,0,"2,272",0,0,0,"2,272"
05/22/2024,AUS,TX,ASW,CE,Combined TRACON & Tower with Radar,566,75,114,22,777,0,0,0,777
05/22/2024,BNA,TN,ASO,ES,Combined TRACON & Tower with Radar,591,80,113,9,793,0,0,0,793
05/22/2024,BOS,MA,ANE,EN,Towers with Radar,"1,018",181,41,7,"1,247",0,0,0,"1,247"
05/22/2024,BWI,MD,AEA,EN,Towers with Radar,615,45,58,4,722,0,0,0,722
05/22/2024,CLT,NC,ASO,ES,Combined TRACON & Tower with Radar,"1,349",263,97,4,"1,713",0,0,0,"1,713"
05/22/2024,DCA,DC,AEA,EN,Towers with Radar,843,4,13,10,870,0,0,0,870
05/22/2024,DEN,CO,ANM,WE,Towers with Radar,"1,670",234,11,0,"1,915",0,0,0,"1,915"
05/22/2024,DFW,TX,ASW,CE,Towers with Radar,"1,667",26,17,1,"1,711",0,0,0,"1,711"
05/22/2024,DTW,MI,AGL,CE,Towers with Radar,836,15,18,0,869,0,0,0,869
05/22/2024,EWR,NJ,AEA,EN,Towers with Radar,"1,166",38,54,0,"1,258",0,0,0,"1,258"
05/22/2024,FLL,FL,ASO,ES,Towers with Radar,628,101,131,4,864,0,0,0,864
05/22/2024,IAD,VA,AEA,EN,Towers with Radar,589,234,108,3,934,0,0,0,934
05/22/2024,IAH,TX,ASW,CE,Towers with Radar,"1,103",136,19,0,"1,258",0,0,0,"1,258"
05/22/2024,JFK,NY,AEA,EN,Towers with Radar,"1,227",28,65,3,"1,323",0,0,0,"1,323"
05/22/2024,LAS,NV,AWP,WE,Towers with Radar,"1,096",456,116,46,"1,714",0,0,0,"1,714"
05/22/2024,LAX,CA,AWP,WE,Towers with Radar,"1,513",73,32,0,"1,618",0,0,0,"1,618"
05/22/2024,LGA,NY,AEA,EN,Towers with Radar,"1,027",21,19,3,"1,070",0,0,0,"1,070"
05/22/2024,MCO,FL,ASO,ES,Towers with Radar,"1,014",56,50,0,"1,120",0,0,0,"1,120"
05/22/2024,MDW,IL,AGL,CE,Towers with Radar,483,114,109,1,707,0,0,0,707
05/22/2024,MIA,FL,ASO,ES,Combined TRACON & Tower with Radar,"1,236",65,49,0,"1,350",0,0,0,"1,350"
05/22/2024,MSP,MN,AGL,CE,Towers with Radar,843,66,62,8,979,0,0,0,979
05/22/2024,ORD,IL,AGL,CE,Towers with Radar,"1,859",401,16,0,"2,276",0,0,0,"2,276"
